u,xi1,xi2,sig,phi,lpost,cont
285,1.523914798600161,0.6214813228678795,9.792653643512942,0.007547758353637125,-8246.059409469173,TRUE
107,1.5826418853818673,0.7224482035725115,30.735115250565187,0.024073988638910793,-8244.847871219845,TRUE
396,1.5175025421739472,0.5599686436378679,9.250421251587866,0.005332264190676407,-8246.43129524241,TRUE
122,1.6333370833212841,0.6284702511289176,40.21182737392398,0.018817994707438987,-8248.033716087983,FALSE
98,1.5857864688751468,0.7311592968295747,37.03892390548068,0.02799364197784755,-8245.736507070418,TRUE
13,1.6487687789376302,1.0350984766774944,5.593671091546938,0.1126139370773302,-8243.204543934427,FALSE
172,1.556294136830725,0.8836592534855688,55.083179890130005,0.01323140252866804,-8248.634450217522,FALSE
52,1.5787699655078995,0.7197017491874766,21.2500494834785,0.042012587610581936,-8244.477534947213,TRUE
483,1.5380990182751713,0.20730194773262411,255.99157772500254,0.006169784715050501,-8248.347464528562,TRUE
70,1.579055008531039,0.7751681396274784,15.957014151461637,0.031160359535205417,-8244.427322563546,TRUE
135,1.5987753998149834,0.30365641589983217,194.04325704270963,0.017347838870920316,-8249.961903978927,FALSE
354,1.5093714401050473,0.5900797188859825,21.014976038713137,0.006279198361252261,-8246.556280680139,TRUE
180,1.5747096216980327,0.6689883816537852,26.2652314967686,0.012643340194060571,-8247.258942273458,FALSE
56,1.583146930991219,0.8148137428503646,18.67050458678185,0.041016643818299156,-8244.365486063552,TRUE
14,1.6867751013175636,0.7804364403198855,12.295069107965867,0.10820346956777419,-8244.835361215846,FALSE
6,1.9521840474318695,1.0756703843640718,4.555215858283905,0.19347250808585711,-8238.863665805291,FALSE
254,1.5621745849976478,0.7878910153997817,8.002087183513801,0.00911496618641576,-8248.080428242973,FALSE
7,1.6962480771352102,0.9819670621811234,4.836621584816991,0.1746545133784181,-8241.945962181431,FALSE
2,2.4460891438887433,1.2465308850395465,0.8064736681999811,0.39400176418700383,-8242.681546720542,FALSE
6,1.8558888612682463,1.0747731555175435,3.903702678060479,0.19347250808585711,-8238.835845934966,FALSE
26,1.647170080251209,0.9331386183508873,13.95452848679074,0.06615701264334019,-8243.151385130503,FALSE
69,1.5871536945529288,0.5793640669224771,45.52258385676233,0.030579241399588356,-8245.74235177267,FALSE
41,1.6268927806913844,0.7125050061732886,33.17846378899813,0.046750955601293734,-8243.93080790257,FALSE
221,1.5394565802729883,0.22529650562077996,239.20244653839706,0.009997059688326962,-8247.731298835135,FALSE
7,1.9043195996202864,1.0344968292407228,5.1096939030074955,0.1746545133784181,-8239.40501451164,FALSE
97,1.5562229979615214,0.6856840205216489,40.93955280019727,0.026950823039076494,-8245.166728100161,TRUE
35,1.6002569359887842,0.6808206087306586,34.56845810009877,0.05174948544545722,-8242.676123914343,FALSE
186,1.5644279580974263,0.7781456595442455,125.30021508447214,0.012055277859453102,-8249.497532944066,FALSE
94,1.5898698798031003,0.46924304158962327,75.85503241863628,0.024110555718906204,-8246.936671746096,FALSE
116,1.5602735537390449,0.5100770008148909,102.54442259791016,0.01970008820935019,-8247.18980581394,FALSE
151,1.5865731532648089,0.7750179346489533,13.276995647362481,0.016711040565385048,-8244.987971393704,TRUE
440,1.5882942996990508,0.07238884994697725,281.8200396755632,0.007035588097929657,-8249.894176626607,TRUE
268,1.5447184463033998,0.4001143143490385,123.34805191972633,0.010697582483977232,-8246.491571203838,TRUE
45,1.6056303940284422,0.49810674215762574,54.290129197356926,0.04351661276095266,-8245.34843126121,FALSE
465,1.6150897659015604,0.46224377369832537,78.08986598874019,0.006344147779848296,-8249.970017456564,TRUE
78,1.605159553507147,0.5350161898225578,71.34030789186046,0.027932960893854747,-8246.111218495787,FALSE
385,1.496529887896935,0.5200283942178725,61.64187371628006,0.00558659217877095,-8249.601883023526,FALSE
335,1.5463392855952416,0.993119146707578,52.243529714942284,0.006174654513378418,-8249.530392557253,FALSE
95,1.561207434277031,0.5200586550357147,31.99221044965144,0.02144312661250486,-8247.801996069447,TRUE
39,1.584414375396396,0.8878892351241915,12.665127938170972,0.04822111143781241,-8245.472583670815,FALSE
280,1.5993044766937834,0.46679343927905514,89.12476518105589,0.010521322961738943,-8247.626578289019,TRUE
395,1.5829057932073662,0.3868339080830826,163.68201442525248,0.008371768911825424,-8249.134810370373,TRUE
7,1.8838275968157392,1.060957952285189,4.4444133606401675,0.1746545133784181,-8239.360846031039,FALSE
